abc,(kamc - lubbock) ,abc localish,kamc
acc network ,acc network (local),,
alien nation ,alien nation by dust,,
aspire ,aspiretv,,
axs tv ,axs tv now,,
baby first ,babyfirst tv,,
bein sport ,bein sports,,
bein sports 3,bein sports connect3 ,,
bein sports 4,bein sports connect 4,,
bein sports 5,bein sports connect 5,,
bein sports 6,bein sports connect 6,,
bein sports 7,bein sports connect 7,,
bein sports 8,bein sports connect 8,,
bounce ,bounce tv,,
cbs,cbs (klbk- lubbock),kblk,
cbs news 24/7,cbs news live,,
cbs sports net,cbs sports network,,
cleo tv,cleotv,,
cnn en espanol,cnn en español,,
cnn international,cnni,,
comedy tv,comedy.tv,,
cooking,cooking channel,,
cozi,cozi tv,,
dabl,dabl east,,
dance moms,dance moms by lifetime,,
discovery,discovery channel,,
discovery family,discovery family channel,,
disney jr.,disney junior,,
dove channel,dove tv,,
e!,e! entertainment television,,
estrella national,estrella tv,,
fail army,failarmy,,
fox,"fox (kjtv - lubbock, tx)",fox 34,
fox business,fox business network,,
fox news,fox news channel,,
fx,fx network,,
galavision,galavisión,,
get,gettv,,
golf channel,golfpass,,
history,history channel,"history channel, the",
hitn,hln,,
lifetime movie network,lifetime movies,,
live now,livenow from fox,,
local,local now,,
nbc,"nbc (kcbd- lubbock, tx)",kcbd 11,
nba dallas mavericks,kfaa white feed - dallas mavericks,,
nick jr,nick jr.,,
nickelodeon,nickelodeon / nick at nite,,
nosey,nosey (fast channel),,
origin sports,origin sports network,,
oxygen,oxygen network,,
paramount,paramount network,,
players tv,playerstv,,
pop,pop tv,,
pursuit,pursuit channel,,
reelz,reelzchannel,,
sec,sec network,sec network (local),
shop lc,shoplc,,
syfy,syfy channel,,
teen nick,teennick,,
telemundo,"telemundo (kxtq-lubbock, tx)",,
tennis,tennis channel,,
thegrio,thegrio tv,,
torque,torque by history,,
usa,usa network,,
univision (este),univision este,kbzo,
women's sports network,women’s sports network,,
pbs,kttz-tv,,
cw,the cw,,
